id,title,duration,view_count,comment_count,like_count,upload_date,duration_string,aspect_ratio
5OLs1GWB4OA,I Built 10 Schools Around The World,964,67889048,95000.0,2362373.0,20260221,16:04,1.78
KkCXLABwHP0,I Built 100 Houses And Gave Them Away!,576,261847732,292000.0,7988880.0,20240629,9:36,1.78
mwKJfNYwvm8,I Built 100 Wells In Africa,629,265754250,214000.0,10428547.0,20231104,10:29,1.78
koRKIlRQj4g,I Built A Mansion Using Only Cardboard Boxes,428,25942601,23000.0,573448.0,20180320,7:08,1.78
KaUuPNYHFNg,I Built a School in Mexico,40,26044265,15000.0,968540.0,20260222,40,0.56
XE9pUM9MEFA,I Built A Working Car Using Only LEGOS,744,75394506,98000.0,1643385.0,20180623,12:24,1.78
59AYXzCa-Cs,I Built The World's Largest Lego Tower,836,221724666,76000.0,3657617.0,20200606,13:56,1.78
Hwybp38GnZw,I Built Willy Wonka's Chocolate Factory!,971,377693720,155000.0,6948139.0,20220604,16:11,1.78
stUofW3whpE,I Buried Treasure in the Bermuda Triangle,53,536331771,39000.0,26191886.0,20230706,53,0.56
AS6WMS_Bemg,I Can't Believe I Found This Stuff On Amazon..,427,31394097,23000.0,1187047.0,20171222,7:07,1.78
jtOalDNVrKM,I Can't Break My Strange Addiction,285,1973055,8800.0,95714.0,20170319,4:45,1.78
cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,295,136274350,166000.0,5609793.0,20211029,4:55,1.78
wIpWCJKfRXs,I Cooked A Pizza With Power Tools,40,730827607,61000.0,11808256.0,20250923,40,0.56
xWcldHxHFpo,"I Counted To 100,000!",85686,33730620,138000.0,1540625.0,20170109,23:48:06,1.79
TgCm8oDmxOk,I Crashed One Of The Most Expensive Cars In The World,15,122253194,7400.0,2640115.0,20250314,15,0.56
vaIgyRoUkQI,I Didn’t Eat Food For 30 Days,784,132018196,106000.0,4371201.0,20220702,13:04,1.78
n9BbAfbsyj0,"I Donated $10,000 If They Said This Word (Twitch Streamers)",785,20151596,21000.0,553838.0,20180404,13:05,1.78
vbph9F_pRNI,I Donated $1000 Every Time She Blinked - Fortnite Streamers,945,21892892,24000.0,638941.0,20180624,15:45,1.78
qAW6CE7_bFM,"I Donated $25,000 To Random Kids Streaming Fortnite",1056,66427731,39000.0,1325421.0,20180914,17:36,1.78
g2rbhIB-ITM,"I Donated $30,000 To A Random Twitch Streamer (world record)",1106,32935263,54000.0,1051108.0,20180128,18:26,1.78
yzGmnjDFuZE,"I Donated $30,000 To My Favorite Twitch Streamer (ninja)",628,36813899,38000.0,857237.0,20180221,10:28,1.78
_uwNDiU04zE,"I Donated $300,000 To People In Need",654,57542276,142000.0,3026249.0,20210213,10:54,1.78
zE3FLbpu9-Q,"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",1277,24626870,28000.0,629795.0,20180421,21:17,1.78
foLlul8Tl3E,"I Donated $50,000 To Ninja - Fortnite",1074,98752340,59000.0,2141700.0,20180714,17:54,1.78
sg_XFT4K3N4,"I Dropped $20,000 From A Drone",705,7841384,16000.0,248189.0,20180308,11:45,1.78
AFXoSFNMwIA,I Filled Chandler’s Car With Feastables,38,486422920,30000.0,15128230.0,20240227,38,0.56
vp5sSqyZ5Go,I Filled My Brother’s House With Slime & Bought Him A New One,565,264936310,116000.0,4163574.0,20201010,9:25,1.78
vETSAZgfDP4,I Flew Using Only Balloons AND Leaf Blowers,677,32855312,44000.0,651106.0,20180423,11:17,1.78
dFr5YQaQQdo,"I Gave $20,000 To People From An Ice Cream Truck",821,14820678,20000.0,346491.0,20180502,13:41,1.78
op0N7axawJA,"I Gave $20,000 To Random Homeless People",656,47742189,72000.0,1302431.0,20180217,10:56,1.78
5Hg_QSIJm8I,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",919,47387713,63000.0,1400218.0,20200507,15:19,1.78
uBC7805Smsg,"I Gave $500,000 To Random People",903,15255524,30000.0,452520.0,20180511,15:03,1.78
9cCpZl8euLI,I Gave A Homeless Man A Home,776,89353984,111000.0,2234526.0,20190228,12:56,1.78
AjZDwxt7S8w,I Gave Away A House On Halloween,48,368353883,37000.0,13843169.0,20231110,48,0.56
L8nh1wuXTbI,"I Gave Him One Hour To Spend $100,000!",825,83883151,68000.0,1650377.0,20190101,13:45,1.78
UE5AHE2Ypr8,"I Gave My 40,000,000th Subscriber 40 Cars",1031,214971159,184000.0,4901941.0,20200919,17:11,1.78
dp8IaLrZpGs,"I Gave My 5,000,000th Subscriber 5,000,000 ______",671,11373123,18000.0,292263.0,20180608,11:11,1.78
-0zoWMSEOGg,"I Gave My 6,000,000th Subscriber 6,000,000 ____",1113,17754697,31000.0,393814.0,20180725,18:33,1.78
0NGWT9COcEI,"I Gave My Brother 24 Hours To Spend $100,000",787,109626821,56000.0,2595497.0,20190831,13:07,1.78
IYVjOfoU3uI,I Gave My Credit Card To Random People,1008,203063139,97000.0,4138147.0,20200201,16:48,1.78
LeYsRMZFUq0,"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",858,244345920,185000.0,7094351.0,20201215,14:18,1.78
1UygJmcHUdQ,I Got Bored Of Studying So This Happened,129,862428,1100.0,23785.0,20151013,2:09,1.78
TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,808,239550089,119000.0,4377107.0,20210424,13:28,1.78
hxwpkM5w3Cc,I Got Hunted By The FBI,950,270404306,97000.0,4905301.0,20210807,15:50,1.78
QbJJwaVdgIs,I Got Hunted By The Military,627,266607344,93000.0,4867152.0,20211210,10:27,1.78
ykRq_rp7NhM,I Got Naruto to Subscribe to Me,19,323740227,24000.0,13393830.0,20230520,19,0.56
3Q3pQmzWyZM,I Got Really Really Really Bored....,51,65854,387.0,1899.0,20140524,51,1.78
zvBXpoBegwE,I Got T-Series To Subscribe To Me,30,278261528,18000.0,9035576.0,20241209,30,0.56
2IGxSOfsBok,I Hate Pewdiepie!!!!!,126,3068534,14000.0,224365.0,20140201,2:06,1.78
eBklqeeIu10,I Hate Spam On Youtube,188,64546,658.0,2091.0,20150712,3:08,1.78
9zFfp3gzZ88,I Hate Youtubers That Ask For Likes,255,235602,750.0,11585.0,20150820,4:15,1.78
SM66GDRyIVY,"I Helped 2,000 People Walk Again",930,143863547,56000.0,3016610.0,20250111,15:30,1.78
jCE1Ol3PYDs,"I Hid $1,000,000 In This Vault",57,93364392,18000.0,2035601.0,20260320,57,0.56
tBEBc4KQVsU,I Hope This Magic Trick Works,982,43722661,18000.0,715097.0,20180911,16:22,1.78
65fN_OUawjk,I Hunted 100 People!,722,271840373,65000.0,4044759.0,20220903,12:02,1.78
97Gh93Daio0,I Made Money Grow On Trees,628,17393756,35000.0,429416.0,20180601,10:28,1.78
t1BWMa8btIw,I Mailed Myself IN A BOX & it REALLY WORKED! (Human Mail Challenge),302,16558225,15000.0,453669.0,20161130,5:02,1.78
R7oW0LwS_e4,I Met Neymar,9,120345192,16000.0,1946165.0,20250711,9,0.56
bvlFjrcpD6s,I NEED 1 MORE 𝗦𝗨𝗕𝗦𝗖𝗥𝗜𝗕𝗘𝗥,22,549947361,83000.0,30977537.0,20231005,22,0.56
ORUX1lHbOa8,I Opened A FREE BANK,652,129728259,94000.0,3050497.0,20191123,10:52,1.78
3LLnjRLrvLU,I Opened A Free Car Dealership,920,159505736,137000.0,3557950.0,20190829,15:20,1.78
dg2Ag3e8W-Q,I Opened A Restaurant That Pays You To Eat At It,572,206692574,723000.0,5195136.0,20201219,9:32,1.78
n6qc4LHN2KQ,I Opened The World's First FREE Store,890,98768592,76000.0,2397947.0,20190615,14:50,1.78
IiW2smvEcBM,I Opened The World’s Cheapest Store,918,41787266,82000.0,1142131.0,20190126,15:18,1.78
sfv1QaRzJg8,I Ordered Pizza And Tipped The House,770,164676350,105000.0,4442086.0,20191205,12:50,1.78
CAOY8EKH1qU,I Paid A Random Student’s College Tuition,37,529511457,62000.0,25140483.0,20230926,37,0.56
YLt73w6criQ,I Paid A Real Assassin To Try To Kill Me,737,336383546,104000.0,6485841.0,20230318,12:17,1.78
7aE4EhHXzlA,I Paid Everyone Stuck in Traffic,27,99287518,41000.0,2774692.0,20251226,27,0.56
f0c7pSCoZqE,"I Put 1,000,000,000 Christmas Lights On A House (World Record)",682,135156723,105000.0,3004735.0,20201223,11:22,1.78
q6Qw8mUVTrE,I Put 10 Million Legos in Friend's House,917,119870707,62000.0,1735877.0,20190118,15:17,1.78
3TflpIllQHY,I Put 100 Million Orbeez In My Friend's Backyard,885,253644548,142000.0,5472446.0,20181122,14:45,1.78
Su34c5Z8DW4,I Put Millions Of Pennies In My Friends Backyard,880,190515186,64000.0,2853702.0,20181208,14:40,1.78
BfKI_TQnQvo,I Raced A Cheetah,20,163803843,14000.0,3349850.0,20250706,20,0.56
uA9Zcg3vHvo,I Raced IShowSpeed,47,600164811,12000.0,9585368.0,20250901,47,0.56
LyFMbY-c_Lc,I Raced Noah Lyles,32,413535074,11000.0,4683758.0,20251114,32,0.56
AiGKBNGlzHo,I Ran A Marathon In The World's Largest Shoes,829,189024533,70000.0,3538677.0,20200321,13:49,1.78
Oo9EbArcQ1c,"I Saved 1,000 Animals From Dying",1055,200432341,61000.0,3429175.0,20251025,17:35,1.78
anFxsa5jXrE,"I Searched 100 Dumpsters, Here's What I Found",1028,236952299,57000.0,3220934.0,20191012,17:08,1.78
Y0cBiGUuB1Y,I Sent a Subscriber to Disneyland,26,709532770,81000.0,30168603.0,20230330,26,0.56
vJH28ICkCdU,I Sold My House For $1,560,189599474,116000.0,4094410.0,20210306,9:20,1.78
5V2B28OqfqM,"I Spent $1,000,000 On Lottery Tickets and WON",612,153153351,85000.0,3419739.0,20200808,10:12,1.78
jokVbbLqV_E,"I Spent $100,000 On Lottery Tickets And Won!",910,58535296,29000.0,1436149.0,20191031,15:10,1.78
wDqJZ_2ZA3A,"I Spent $30,000 On Lottery Tickets And Won ____",933,17388514,21000.0,425572.0,20180928,15:33,1.78
f0M64XpmTz8,"I Spent $50,000 On Lottery Tickets And Won ____",1014,31439957,33000.0,744941.0,20181019,16:54,1.78
NDsO1LT_0lw,I Spent 100 Hours Inside The Pyramids!,1302,229693581,100000.0,5352257.0,20250208,21:42,1.78
HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,719,229909055,79000.0,3428351.0,20200411,11:59,1.78
TOcGSwJBPMQ,I Spent 24 Hours Straight At Area 51,914,198231641,100000.0,4027769.0,20190802,15:14,1.78
nuM0Z4a7kMs,I Spent 24 Hours Straight In Insane Asylum,955,124120577,133000.0,2355718.0,20190210,15:55,1.78
sESRuTyfsEk,I Spent 24 Hours Straight In Prison - Challenge,781,120201735,73000.0,2119368.0,20181219,13:01,1.78
9GD6hbqu2oM,I Spent 24 Hours Straight In Slime,878,44186578,32000.0,933905.0,20181009,14:38,1.78
9bqk6ZUsKyA,I Spent 50 Hours Buried Alive,759,341661533,242000.0,8345029.0,20210327,12:39,1.78
r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,951,343243615,116000.0,5105030.0,20200530,15:51,1.78
7dYTw-jAYkY,I Spent 7 Days Buried Alive,1114,313884615,126000.0,8281909.0,20231118,18:34,1.78
K_CbgLpvH9E,I Spent 7 Days In Solitary Confinement,1216,291963481,85000.0,5546152.0,20231230,20:16,1.78
6Zy5VLcEbZc,"I Stranded 100 People In The Wilderness For $250,000",2220,121367302,1300000.0,2487754.0,20260502,37:00,1.78
HISfrcjiNPM,I Surprised 50 Make-A-Wish Kids With Disneyland,29,48926498,13000.0,1084788.0,20251121,29,0.56
y1UVAtHALaA,"I Surprised a Random Subscriber With $10,000",35,145445113,49000.0,4149814.0,20260529,35,0.56
-4GmbBoYQjE,I Survived 100 Hours In An Ancient Temple,946,137120302,78000.0,3071052.0,20250510,15:46,1.78
SZQhgExjBvQ,I Survived 24 Hours Straight In Ice,694,184256776,192000.0,4269287.0,20201029,11:34,1.78
nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,753,300290706,99000.0,4482267.0,20210626,12:33,1.78
7IKab3HcfFk,I Survived 50 Hours In Antarctica,730,259460732,143000.0,5868256.0,20221224,12:10,1.78
tWYsfOSY9vY,I Survived 7 Days In An Abandoned City,1043,353378712,201000.0,6782990.0,20240302,17:23,1.78
aKq8bkY5eTU,I Survived The 5 Deadliest Places On Earth,802,185094794,55000.0,3322002.0,20250322,13:22,1.78
U9c-ycvw02A,I Think I Am Going For The #KarnageRC,232,64586,578.0,2043.0,20150605,3:52,1.78
IemzxkkzI5s,I Tipped A Pizza Delivery Driver A Car,52,718889033,36000.0,27082148.0,20231012,52,0.56
CWK6an4mYL0,"I Tipped Waitresses $20,000",743,15027210,19000.0,355342.0,20180330,12:23,1.78
t4OumncEiKo,I Took Apart My Friends Car And Put It In His Room,616,15963016,12000.0,316168.0,20180525,10:16,1.78
CP82DAKzL1U,I Traded My Car At a Red Light,47,749760906,43000.0,27498255.0,20230715,47,0.56
3iaDrpKdaIc,I Ubered Random People In A Tank,598,30269394,42000.0,861070.0,20180711,9:58,1.78
IoZri9hq7z4,I Uber’d People And Let Them Keep The Car,850,154882616,85000.0,4239614.0,20201024,14:10,1.78
UQtltNZ_pjs,I Won Every Prize At A Theme Park,801,189615225,67000.0,3032162.0,20190815,13:21,1.78
j93M46a-W3U,I'm Back! Update Video....,203,215094,768.0,7134.0,20130719,3:23,1.78
5PCxQSMOl3o,i'm really sorry,191,5973201,10000.0,204239.0,20171026,3:11,1.78
NEDPgQYhbqs,IF ONLINE ADS WERE REAL,276,9906386,17000.0,575563.0,20161016,4:36,1.78
dqpCvSU-ECE,If This Goes In You Have To Subscribe,12,176640933,17000.0,1389970.0,20260517,12,0.56
v1ELS84GQu8,If This Video Gets One Million Views.....,45,13381145,71000.0,1169765.0,20130907,45,1.78
ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",607,269557951,78000.0,3940831.0,20210724,10:07,1.78
YSoJPA8-oHc,If You Click This Video I'll Give My Friend .001$,1041,229669725,169000.0,7552024.0,20200523,17:21,1.78
9fa_JYTPZ2Y,IF YOU ONLY SEE ORANGE YOU'RE COLOR BLIND,233,1848676,7500.0,92686.0,20161205,3:53,1.78
gGcaGdHlt60,"If You Spill, You Lose!",18,512548769,8500.0,4205698.0,20250625,18,0.56
ScjQAcbA9e4,Important Announcement From The Grocery Store,12,16926083,15000.0,532869.0,20260428,12,0.56
0hVZOJCYBBM,Important Youtube Announcement (please watch),155,39709694,124000.0,2412910.0,20191228,2:35,1.78
